Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
4,41,1.0,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844
4,42,1.0,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692
4,43,1.0,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489
2,44,1.0,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837
2,45,1.0,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893
3,46,1.0,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705
3,47,1.0,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557
4,48,1.0,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541
5,49,1.0,1.32376,1.21624,0.74716,0.45492,0.306,0.17362
10,50,1.0,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823
4,51,1.0,0.68133,0.97841,0.5392,0.57414,0.088,0.20536
2,52,1.0,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951
4,53,1.0,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424
2,54,1.0,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827
2,55,1.0,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328
2,56,1.0,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641
4,57,1.0,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815
4,58,1.0,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982
2,59,1.0,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046
2,60,1.0,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759
7,61,1.0,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075
2,62,1.0,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444
5,63,1.0,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295
2,64,1.0,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199
4,65,1.0,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123
10,66,1.0,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169
10,67,1.0,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638
5,68,1.0,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822
2,69,1.0,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831
2,70,1.0,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979
9,71,1.0,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744
3,72,1.0,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478
2,73,1.0,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868
7,74,1.0,0.82827,1.08708,0.63793,0.46611,0.0,0.51535
7,75,1.0,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686
5,76,1.0,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253
2,77,1.0,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003
9,78,1.0,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233
8,79,1.0,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998
2,80,1.0,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799
8,81,1.0,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671
5,82,1.0,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053
2,82,1.0,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614
3,84,1.0,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185
9,85,1.0,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
2,86,1.0,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748
2,87,1.0,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231
10,88,1.0,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719
2,89,1.0,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226
7,90,1.0,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991
